source,target,value,class
6.006,6.047,1,test
6.041B,6.047,1,test
7.012,6.047,1,test
6.006,6.046,1,test
18.01,6.042,1,test
7.012,6.524,1,test
2.002,6.524,1,test
2.006,6.524,1,test
6.013,6.524,1,test
10.301,6.524,1,test
10.302,6.524,1,test
2.008,6.525,1,test
6.101,6.525,1,test
6.111,6.525,1,test
6.115,6.525,1,test
22.071,6.525,1,test
2.006,6.522,1,test
6.013,6.522,1,test
6.021,6.522,1,test
6.034,6.872,1,test
6.036,6.872,1,test
8.02,6.521,1,test
18.03,6.521,1,test
2.005,6.521,1,test
6.002,6.521,1,test
6.003,6.521,1,test
6.071,6.521,1,test
10.301,6.521,1,test
20.110,6.521,1,test
6.041B,6.441,1,test
6.006,6.440,1,test
6.045,6.440,1,test
18.435,6.443,1,test
6.041B,6.442,1,test
6.042,6.442,1,test
8.01,6.946,1,test
18.03,6.946,1,test
6.951,6.952,1,test
6.241,6.245,1,test
16.31,6.245,1,test
6.041B,6.819,1,test
6.042,6.819,1,test
18.06,6.819,1,test
6.003,6.241,1,test
18.06,6.241,1,test
6.013,6.730,1,test
6.728,6.730,1,test
6.031,6.813,1,test
6.002,6.115,1,test
6.003,6.115,1,test
6.004,6.115,1,test
6.007,6.115,1,test
6.006,6.816,1,test
6.002,6.111,1,test
6.071,6.111,1,test
16.004,6.111,1,test
18.02,6.815,1,test
6.031,6.815,1,test
2.EPW,6.EPE,1,test
6.003,6.302,1,test
2.003,6.302,1,test
16.002,6.302,1,test
18.02,6.058,1,test
8.01,6.050,1,test
6.867,6.860,1,test
6.041B,6.860,1,test
18.06,6.860,1,test
6.450,6.452,1,test
6.011,6.453,1,test
18.06,6.453,1,test
6.011,6.450,1,test
6.341,6.456,1,test
2.687,6.456,1,test
6.011,6.456,1,test
18.06,6.456,1,test
6.002,6.1151,1,test
6.003,6.1151,1,test
6.004,6.1151,1,test
6.007,6.1151,1,test
6.021,6.581,1,test
6.034,6.581,1,test
6.046,6.581,1,test
6.336,6.581,1,test
18.417,6.581,1,test
6.041B,6.262,1,test
6.431B,6.262,1,test
18.204,6.262,1,test
6.004,6.823,1,test
6.035,6.820,1,test
6.002,6.1311,1,test
6.003,6.1311,1,test
6.007,6.1311,1,test
6.033,6.829,1,test
6.031,6.828,1,test
6.033,6.828,1,test
18.06,6.251,1,test
18.06,6.252,1,test
18.100A,6.252,1,test
18.100B,6.252,1,test
18.100C,6.252,1,test
6.911,6.914,1,test
6.041B,6.254,1,test
18.06,6.255,1,test
6.251,6.256,1,test
6.255,6.256,1,test
6.034,6.945,1,test
6.002,6.101,1,test
6.071,6.101,1,test
6.034,6.803,1,test
6.034,6.833,1,test
6.911,6.912,1,test
6.UR,6.UAR,1,test
6.UAT,6.UAP,1,test
6.002,6.061,1,test
6.013,6.061,1,test
6.854J,6.856,1,test
6.041B,6.856,1,test
6.042J,6.856,1,test
6.911,6.913,1,test
6.012,6.301,1,test
6.002,6.690,1,test
6.013,6.690,1,test
6.031,6.831,1,test
6.141,6.832,1,test
2.12,6.832,1,test
2.165,6.832,1,test
6.041B,6.834,1,test
6.042,6.834,1,test
16.09,6.834,1,test
16.413,6.834,1,test
6.034,6.834,1,test
6.031,6.835,1,test
6.034,6.835,1,test
6.006,6.836,1,test
18.02,6.837,1,test
6.031,6.837,1,test
6.837,6.838,1,test
18.06,6.839,1,test
6.031,6.839,1,test
6.837,6.839,1,test
6.013,6.632,1,test
6.630,6.632,1,test
8.07,6.632,1,test
6.01,6.073,1,test
CMS.301,6.073,1,test
CMS.608,6.073,1,test
6.003,6.777,1,test
2.003,6.777,1,test
8.02,6.777,1,test
6.301,6.776,1,test
6.301,6.775,1,test
6.152,6.774,1,test
15.401,6.935,1,test
15.414,6.935,1,test
15.415,6.935,1,test
6.003,6.630,1,test
6.007,6.630,1,test
6.003,6.866,1,test
6.003,6.320,1,test
2.004,6.320,1,test
2.04A,6.320,1,test
16.002,6.320,1,test
6.013,6.631,1,test
8.07,6.631,1,test
6.033,6.857,1,test
6.042J,6.857,1,test
6.004,6.175,1,test
6.006,6.170,1,test
6.031,6.170,1,test
6.004,6.172,1,test
6.006,6.172,1,test
6.031,6.172,1,test
18.02,6.041A,1,test
6.041A,6.041B,1,test
